,Year,Country,Inflation Rate (%),Year,Country,"Foreign direct inflows, net (BoP, current US$)",Year,Country,GDP (current US$),Year,Country,Population ages 15-64 (% of total population),Year,Country,average_wages,Country,Year,automation,Year,Country,robot,Year,Country,unemployment
0,2004,Canada,3.26087389828982,2004,Canada,1452416545.21802,2004,Canada,1026690238278.2476,2004,Canada,69.1210426681388,2004,Canada,28326.600000000002,Canada,2004,236262468590.329,2004,Canada,302,2004,Canada,7.185
1,2005,Canada,3.11663850487676,2005,Canada,25552226940.9281,2005,Canada,1173108598778.6763,2005,Canada,69.3162053812159,2005,Canada,31624.08,Canada,2005,276926187456.847,2005,Canada,305,2005,Canada,6.758
2,2006,Canada,2.57017267466084,2006,Canada,64302303096.8668,2006,Canada,1319264809590.9731,2006,Canada,69.4619555649849,2006,Canada,34606.56,Canada,2006,300265347081.624,2006,Canada,311,2006,Canada,6.484
3,2007,Canada,3.30054564423155,2007,Canada,120451484862.004,2007,Canada,1468820407783.2603,2007,Canada,69.5235674470308,2007,Canada,38130.0,Canada,2007,322736494690.511,2007,Canada,323,2007,Canada,6.156
4,2008,Canada,3.99631645542576,2008,Canada,70119614332.5095,2008,Canada,1552989690721.6497,2008,Canada,69.5148015307897,2008,Canada,39463.44,Canada,2008,346986992052.782,2008,Canada,317,2008,Canada,6.284
5,2009,Canada,-2.3249220722794,2009,Canada,20951090410.3132,2009,Canada,1374625142157.2915,2009,Canada,69.468868426388,2009,Canada,37597.08,Canada,2009,248857371608.809,2009,Canada,366,2009,Canada,8.46
6,2010,Canada,2.84863776634425,2010,Canada,29714744325.4741,2010,Canada,1617343367486.2585,2010,Canada,69.3789809843166,2010,Canada,42474.0,Canada,2010,310037408926.989,2010,Canada,568,2010,Canada,8.178
7,2011,Canada,3.244455175502111,2011,Canada,38338330427.428,2011,Canada,1793326630174.5186,2011,Canada,69.187020705999,2011,Canada,45342.840000000004,Canada,2011,358853952600.081,2011,Canada,615,2011,Canada,7.637
8,2012,Canada,1.2184437073871948,2012,Canada,49368985104.1991,2012,Canada,1828366481521.5952,2012,Canada,68.8781467973837,2012,Canada,46248.24,Canada,2012,346848533582.435,2012,Canada,648,2012,Canada,7.392
9,2013,Canada,1.7407379057341643,2013,Canada,67027866778.2682,2013,Canada,1846597421834.9834,2013,Canada,68.5147194001909,2013,Canada,45806.399999999994,Canada,2013,348058063580.328,2013,Canada,730,2013,Canada,7.143
10,2014,Canada,1.9411989774866782,2014,Canada,64174605785.6347,2014,Canada,1805749878439.9412,2014,Canada,68.1408095240032,2014,Canada,43467.24,Canada,2014,348845742086.261,2014,Canada,771,2014,Canada,7.023
11,2015,Canada,-0.8676513123233889,2015,Canada,59986208237.0735,2015,Canada,1556508816217.1401,2015,Canada,67.7545145228694,2015,Canada,38549.399999999994,Canada,2015,258527514689.533,2015,Canada,1287,2015,Canada,6.945
12,2016,Canada,0.7169781406606575,2016,Canada,34201872160.6085,2016,Canada,1527994741907.425,2016,Canada,67.3790409090975,2016,Canada,37866.840000000004,Canada,2016,242531377853.51,2016,Canada,1397,2016,Canada,7.038
13,2017,Canada,2.5710146542528207,2017,Canada,25357801000.497,2017,Canada,1649265644244.095,2017,Canada,67.0474708924841,2017,Canada,39256.2,Canada,2017,274601196205.641,2017,Canada,1423,2017,Canada,6.426
